Amon Fabacki
Fidol Jadacki
Pankracy Bajeczny
Bianor Lysy
Klet Zabacki
Cyrenia Abbacka
Jurata Komosa
Jelena Nebacka
Kanizjusz Debacki
Radzimir Milosierny
Abelia Kaktus
Maja Lebiodka
Wadim Zapominajka
Marcel Chabacki
Stefan Powoj
Anizja Rabacka
Jagoda Rozanska
Roza Jagodanska
Leokadia Jasna
Bianor Jabacki
Biryn Habacki
Fiebroslaw Zamily
Zygmunt Dobroczynski
Arian Kabacki
Franciszek Gapa
Paloma Bluszcz
Piotr Mniszek
Jan Asparagus
Ezio Gad
Irydion Tulipan
Aneta Krecikowska
Kalina Zaglodna
Apostazja Ciemna
Gustaw Poznawski
Herweusz Nocny
Gracjan Dzienny
Nikoletta Mala
Acelin Pestka
Bulat Nadziewany
Stefan Balon
Edda Kakol
Faina Dyniowska
Wielebyt Ostrozny
Symplicjusz Fikus
Linda Mak
Liboriusz Gladiola
Ksaweryna Mieta
Antonia Gorczyca
Wawrzyniec Rumianek
Abira Bogata
Benicjusz Naparczywy
Balladyna Malina
Boromeusz Chmiel
Ramona Obanska
Eufrozyna Pokrzywa
Dafroza Trawnik
Borys Pokrzyk
Felin Dziurawiec
Kalikst Lubin
Scholastyka Blawatek
Linus Pacha
Ramzes Koniczyna
Ronald Lubiany
Florian Malomyslny
Nela Malomyslna
Marcislaw Buja
Nadia Ebacka
Ninian Lopian
Benedykt Chaper
Ksawery Melon
